,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
3346,POLYXUSDT,COMPUSDT,0.02,-3.67,-3.34,0.0,0
3347,POLYXUSDT,SCUSDT,0.0,-4.58,-3.34,37.55,0
3348,POLYXUSDT,SXPUSDT,0.0,-4.35,-3.34,0.4,0
3349,POLYXUSDT,DCRUSDT,0.01,-3.8,-3.34,0.01,0
3350,POLYXUSDT,YFIUSDT,0.04,-3.43,-3.34,0.0,0
3351,POLYXUSDT,WNXMUSDT,0.0,-4.31,-3.34,0.0,0
3352,POLYXUSDT,ROSEUSDT,0.01,-4.07,-3.34,2.7,0
3326,POLYXUSDT,BATUSDT,0.01,-3.83,-3.34,0.62,0
3324,POLYXUSDT,ZILUSDT,0.0,-4.14,-3.34,6.5,0
3290,LUNCUSDT,VITEUSDT,0.01,-4.04,-3.34,0.01,0
3306,GMXUSDT,ONEUSDT,0.05,-3.36,-3.34,3860.62,0
3292,LUNCUSDT,WRXUSDT,0.0,-5.46,-3.34,0.0,0
3293,LUNCUSDT,MBLUSDT,0.04,-3.39,-3.34,0.02,0
3294,LUNCUSDT,USDTIDRT,0.04,-3.42,-3.34,0.0,0
3295,LUNCUSDT,COMPUSDT,0.04,-3.41,-3.34,0.0,0
3296,LUNCUSDT,SCUSDT,0.03,-3.59,-3.34,0.02,0
3297,LUNCUSDT,DGBUSDT,0.05,-3.36,-3.34,0.01,0
3298,LUNCUSDT,BALUSDT,0.02,-3.67,-3.34,0.0,0
3299,LUNCUSDT,BLZUSDT,0.03,-3.58,-3.34,0.0,0
3300,LUNCUSDT,USDTDAI,0.04,-3.4,-3.34,0.0,0
3301,LUNCUSDT,CRVUSDT,0.0,-4.59,-3.34,0.0,0
3302,LUNCUSDT,SANDUSDT,0.03,-3.51,-3.34,0.0,0
3303,LUNCUSDT,WNXMUSDT,0.01,-3.86,-3.34,0.0,0
3307,GMXUSDT,WINUSDT,0.03,-3.53,-3.34,624541.5,0
3323,POLYXUSDT,WAVESUSDT,0.01,-3.92,-3.34,0.07,0
3308,GMXUSDT,FUNUSDT,0.0,-4.43,-3.34,8985.2,0
3310,GMXUSDT,CTXCUSDT,0.03,-3.51,-3.34,310.17,0
3311,GMXUSDT,VITEUSDT,0.05,-3.35,-3.34,3200.43,0
3312,GMXUSDT,WRXUSDT,0.02,-3.68,-3.34,379.28,0
3313,GMXUSDT,SCUSDT,0.01,-3.79,-3.34,13052.55,0
3314,GMXUSDT,BLZUSDT,0.03,-3.57,-3.34,316.12,0
3317,GMXUSDT,JUVUSDT,0.0,-4.3,-3.34,18.17,0
3318,POLYXUSDT,LTCUSDT,0.02,-3.66,-3.34,0.0,0
3319,POLYXUSDT,QTUMUSDT,0.0,-5.65,-3.34,0.05,0
3320,POLYXUSDT,XRPUSDT,0.03,-3.51,-3.34,0.21,0
3321,POLYXUSDT,TUSDUSDT,0.0,-4.39,-3.34,0.11,0
3322,POLYXUSDT,ICXUSDT,0.0,-4.64,-3.34,0.63,0
3353,POLYXUSDT,XEMUSDT,0.0,-5.61,-3.34,4.34,0
3354,APTUSDT,ETHUSDT,0.05,-3.37,-3.34,0.0,0
3355,OSMOUSDT,TUSDUSDT,0.03,-3.49,-3.34,0.4,0
3398,PHBUSDT,WTCUSDT,0.02,-3.68,-3.34,3.67,0
3386,HFTUSDT,COMPUSDT,0.03,-3.48,-3.34,0.01,0
3387,HFTUSDT,DCRUSDT,0.02,-3.69,-3.34,0.02,0
3388,HFTUSDT,YFIUSDT,0.04,-3.39,-3.34,0.0,0
3389,HFTUSDT,BALUSDT,0.02,-3.6,-3.34,0.09,0
3390,HFTUSDT,IRISUSDT,0.0,-4.4,-3.34,18.04,0
3391,HFTUSDT,USDTDAI,0.0,-4.27,-3.34,0.34,0
3392,HFTUSDT,SANDUSDT,0.02,-3.62,-3.34,0.98,0
3393,HFTUSDT,DOTUSDT,0.03,-3.58,-3.34,0.07,0
3394,HFTUSDT,LUNAUSDT,0.02,-3.7,-3.34,0.72,0
3395,PHBUSDT,NULSUSDT,0.03,-3.57,-3.34,3.01,0
3396,PHBUSDT,WANUSDT,0.02,-3.72,-3.34,2.93,0
3397,PHBUSDT,BTSUSDT,0.03,-3.5,-3.34,60.44,0
3399,PHBUSDT,BELUSDT,0.03,-3.56,-3.34,0.92,0
3356,OSMOUSDT,BUSDUSDT,0.01,-3.81,-3.34,0.4,0
3400,PHBUSDT,XVSUSDT,0.04,-3.43,-3.34,0.14,0
3401,PHBUSDT,LITUSDT,0.04,-3.46,-3.34,0.89,0
3402,PHBUSDT,PONDUSDT,0.03,-3.55,-3.34,68.17,0
3403,PHBUSDT,FORTHUSDT,0.01,-3.91,-3.34,0.2,0
3404,PHBUSDT,ATAUSDT,0.04,-3.39,-3.34,7.2,0
3405,PHBUSDT,GTCUSDT,0.0,-4.32,-3.34,0.57,0
3406,PHBUSDT,PHAUSDT,0.0,-4.28,-3.34,6.18,0
3407,PHBUSDT,FARMUSDT,0.05,-3.37,-3.34,0.02,0
3408,PHBUSDT,FORUSDT,0.02,-3.62,-3.34,31.38,0
3409,PHBUSDT,IDEXUSDT,0.04,-3.4,-3.34,11.8,0
3410,PHBUSDT,CVPUSDT,0.0,-4.25,-3.34,1.91,0
3411,PHBUSDT,AGLDUSDT,0.02,-3.71,-3.34,1.0,0
3385,HFTUSDT,LRCUSDT,0.01,-3.77,-3.34,1.74,0
3384,HFTUSDT,DATAUSDT,0.0,-4.15,-3.34,15.23,0
3383,HFTUSDT,MBLUSDT,0.02,-3.69,-3.34,116.97,0
3382,HFTUSDT,BNTUSDT,0.03,-3.52,-3.34,0.76,0
3357,OSMOUSDT,ATMUSDT,0.0,-4.36,-3.34,0.15,0
3358,OSMOUSDT,TWTUSDT,0.01,-4.05,-3.34,0.47,0
3359,HFTUSDT,ETHUSDT,0.03,-3.57,-3.34,0.0,0
3360,HFTUSDT,EOSUSDT,0.04,-3.45,-3.34,0.54,0
3361,HFTUSDT,NULSUSDT,0.01,-3.78,-3.34,1.83,0
3362,HFTUSDT,LINKUSDT,0.03,-3.49,-3.34,0.05,0
3363,HFTUSDT,HOTUSDT,0.04,-3.39,-3.34,297.66,0
3364,HFTUSDT,CELRUSDT,0.04,-3.4,-3.34,27.27,0
3365,HFTUSDT,THETAUSDT,0.03,-3.58,-3.34,0.51,0
3366,HFTUSDT,ENJUSDT,0.01,-3.83,-3.34,1.32,0
3367,HFTUSDT,MATICUSDT,0.02,-3.76,-3.34,0.57,0
3368,HFTUSDT,ATOMUSDT,0.05,-3.35,-3.34,0.04,0
3369,HFTUSDT,ALGOUSDT,0.01,-4.09,-3.34,3.38,0
3370,HFTUSDT,DOGEUSDT,0.03,-3.56,-3.34,5.06,0
3371,HFTUSDT,ANKRUSDT,0.03,-3.52,-3.34,16.22,0
3372,HFTUSDT,WINUSDT,0.02,-3.66,-3.34,5342.57,0
3373,HFTUSDT,COSUSDT,0.02,-3.76,-3.34,72.19,0
3374,HFTUSDT,DENTUSDT,0.03,-3.53,-3.34,500.66,0
3375,HFTUSDT,FUNUSDT,0.02,-3.6,-3.34,76.52,0
3376,HFTUSDT,CHZUSDT,0.02,-3.61,-3.34,5.13,0
3377,HFTUSDT,BUSDUSDT,0.01,-3.99,-3.34,0.34,0
3378,HFTUSDT,CTXCUSDT,0.03,-3.47,-3.34,2.64,0
3379,HFTUSDT,VITEUSDT,0.0,-4.29,-3.34,27.29,0
3380,HFTUSDT,DREPUSDT,0.03,-3.51,-3.34,1.41,0
3381,HFTUSDT,WRXUSDT,0.04,-3.42,-3.34,3.22,0
3291,LUNCUSDT,DREPUSDT,0.02,-3.64,-3.34,0.0,0
3289,LUNCUSDT,KAVAUSDT,0.0,-4.47,-3.34,0.0,0
3172,STEEMUSDT,ONGUSDT,0.02,-3.7,-3.34,0.75,0
3215,NEXOUSDT,RVNUSDT,0.03,-3.48,-3.34,37.29,0
3203,NEXOUSDT,USDCUSDT,0.01,-4.05,-3.34,0.6,0
3204,NEXOUSDT,OMGUSDT,0.03,-3.58,-3.34,1.21,0
3205,NEXOUSDT,THETAUSDT,0.0,-4.98,-3.34,0.91,0
3206,NEXOUSDT,ENJUSDT,0.0,-4.62,-3.34,2.34,0
3207,NEXOUSDT,MATICUSDT,0.01,-4.02,-3.34,1.02,0
3208,NEXOUSDT,FTMUSDT,0.02,-3.67,-3.34,2.82,0
3209,NEXOUSDT,WINUSDT,0.02,-3.73,-3.34,9474.7,0
3210,NEXOUSDT,WANUSDT,0.04,-3.43,-3.34,3.16,0
3211,NEXOUSDT,FUNUSDT,0.0,-5.36,-3.34,135.71,0
3212,NEXOUSDT,CHZUSDT,0.01,-3.81,-3.34,9.1,0
3213,NEXOUSDT,BUSDUSDT,0.0,-4.93,-3.34,0.6,0
3214,NEXOUSDT,XTZUSDT,0.01,-4.05,-3.34,0.83,0
3216,NEXOUSDT,KAVAUSDT,0.0,-5.7,-3.34,0.83,0
3201,NEXOUSDT,XRPUSDT,0.01,-3.85,-3.34,1.08,0
3217,NEXOUSDT,VITEUSDT,0.02,-3.69,-3.34,48.38,0
3218,NEXOUSDT,DREPUSDT,0.01,-3.81,-3.34,2.5,0
3219,NEXOUSDT,WRXUSDT,0.02,-3.6,-3.34,5.72,0
3220,NEXOUSDT,USDTIDRT,0.02,-3.7,-3.34,0.0,0
3221,NEXOUSDT,USDTUAH,0.0,-4.6,-3.34,0.02,0
3222,NEXOUSDT,COMPUSDT,0.02,-3.73,-3.34,0.01,0
3223,NEXOUSDT,DGBUSDT,0.02,-3.69,-3.34,84.51,0
3224,NEXOUSDT,MANAUSDT,0.04,-3.44,-3.34,1.87,0
3225,NEXOUSDT,YFIUSDT,0.0,-4.61,-3.34,0.0,0
3226,NEXOUSDT,BALUSDT,0.01,-3.8,-3.34,0.16,0
3227,NEXOUSDT,BLZUSDT,0.0,-5.17,-3.34,5.04,0
3228,NEXOUSDT,USDTDAI,0.01,-4.07,-3.34,0.6,0
3202,NEXOUSDT,TUSDUSDT,0.0,-4.66,-3.34,0.6,0
3200,NEXOUSDT,ADAUSDT,0.0,-5.79,-3.34,2.23,0
3288,LUNCUSDT,RVNUSDT,0.02,-3.67,-3.34,0.0,0
3185,MOBUSDT,WAVESUSDT,0.03,-3.56,-3.34,0.36,0
3173,STEEMUSDT,ZRXUSDT,0.0,-4.71,-3.34,0.89,0
3174,STEEMUSDT,BATUSDT,0.01,-3.98,-3.34,0.9,0
3175,STEEMUSDT,XMRUSDT,0.01,-3.94,-3.34,0.0,0
3176,STEEMUSDT,ZECUSDT,0.0,-4.22,-3.34,0.01,0
3177,STEEMUSDT,TFUELUSDT,0.04,-3.42,-3.34,4.75,0
3178,STEEMUSDT,COSUSDT,0.04,-3.44,-3.34,35.5,0
3179,STEEMUSDT,PERLUSDT,0.01,-4.03,-3.34,10.85,0
3180,STEEMUSDT,CVCUSDT,0.0,-4.53,-3.34,2.21,0
3181,STEEMUSDT,BUSDUSDT,0.04,-3.47,-3.34,0.17,0
3182,STEEMUSDT,RENUSDT,0.02,-3.72,-3.34,3.3,0
3183,STEEMUSDT,CTXCUSDT,0.01,-3.85,-3.34,1.3,0
3184,MOBUSDT,QTUMUSDT,0.0,-4.25,-3.34,0.26,0
3186,MOBUSDT,HOTUSDT,0.05,-3.35,-3.34,524.47,0
3199,NEXOUSDT,ETHUSDT,0.05,-3.36,-3.34,0.0,0
3187,MOBUSDT,ZILUSDT,0.04,-3.44,-3.34,33.8,0
3188,MOBUSDT,XMRUSDT,0.04,-3.44,-3.34,0.0,0
3189,MOBUSDT,IOSTUSDT,0.02,-3.74,-3.34,78.22,0
3190,MOBUSDT,CELRUSDT,0.02,-3.63,-3.34,48.09,0
3191,MOBUSDT,WINUSDT,0.03,-3.51,-3.34,9385.8,0
3192,MOBUSDT,PERLUSDT,0.05,-3.37,-3.34,38.83,0
3193,MOBUSDT,DENTUSDT,0.03,-3.52,-3.34,882.75,0
3194,MOBUSDT,FUNUSDT,0.0,-4.52,-3.34,134.75,0
3195,MOBUSDT,BUSDUSDT,0.01,-3.79,-3.34,0.59,0
3196,MOBUSDT,RVNUSDT,0.05,-3.37,-3.34,37.04,0
3197,MOBUSDT,KAVAUSDT,0.05,-3.36,-3.34,0.82,0
3198,MOBUSDT,CTXCUSDT,0.01,-3.93,-3.34,4.65,0
3229,NEXOUSDT,CRVUSDT,0.01,-3.85,-3.34,1.19,0
3230,NEXOUSDT,SANDUSDT,0.01,-3.91,-3.34,1.74,0
3231,NEXOUSDT,DOTUSDT,0.0,-5.82,-3.34,0.13,0
3274,STGUSDT,USDCUSDT,0.01,-3.82,-3.34,0.55,0
3262,EPXUSDT,COSUSDT,0.01,-3.92,-3.34,0.04,0
3263,EPXUSDT,PERLUSDT,0.05,-3.34,-3.34,0.01,0
3264,EPXUSDT,DOCKUSDT,0.01,-4.02,-3.34,0.01,0
3265,OPUSDT,TUSDUSDT,0.0,-4.28,-3.34,1.47,0
3266,OPUSDT,USDTZAR,0.03,-3.54,-3.34,0.08,0
3267,OPUSDT,INJUSDT,0.05,-3.35,-3.34,0.2,0
3268,OPUSDT,JUVUSDT,0.04,-3.42,-3.34,0.67,0
3269,LEVERUSDT,TUSDUSDT,0.01,-3.86,-3.34,0.0,0
3270,LEVERUSDT,INJUSDT,0.03,-3.48,-3.34,0.0,0
3271,LEVERUSDT,ATMUSDT,0.04,-3.44,-3.34,0.0,0
3272,LEVERUSDT,ASRUSDT,0.05,-3.36,-3.34,0.0,0
3273,LEVERUSDT,AMBUSDT,0.02,-3.72,-3.34,0.18,0
3275,STGUSDT,FUNUSDT,0.01,-4.01,-3.34,125.44,0
3232,NEXOUSDT,LUNAUSDT,0.0,-4.85,-3.34,1.29,0
3276,STGUSDT,BUSDUSDT,0.0,-4.49,-3.34,0.55,0
3277,STGUSDT,VITEUSDT,0.01,-3.8,-3.34,44.71,0
3278,STGUSDT,USDTDAI,0.0,-4.14,-3.34,0.56,0
3279,LUNCUSDT,ADAUSDT,0.0,-4.4,-3.34,0.0,0
3280,LUNCUSDT,USDCUSDT,0.04,-3.4,-3.34,0.0,0
3281,LUNCUSDT,OMGUSDT,0.02,-3.69,-3.34,0.0,0
3282,LUNCUSDT,FTMUSDT,0.0,-4.37,-3.34,0.0,0
3283,LUNCUSDT,WINUSDT,0.0,-5.16,-3.34,1.06,0
3284,LUNCUSDT,COSUSDT,0.04,-3.46,-3.34,0.01,0
3285,LUNCUSDT,DENTUSDT,0.03,-3.51,-3.34,0.1,0
3286,LUNCUSDT,FUNUSDT,0.0,-4.5,-3.34,0.02,0
3287,LUNCUSDT,BUSDUSDT,0.01,-4.01,-3.34,0.0,0
3261,EPXUSDT,XMRUSDT,0.02,-3.71,-3.34,0.0,0
3260,EPXUSDT,ZRXUSDT,0.02,-3.67,-3.34,0.0,0
3259,EPXUSDT,ONGUSDT,0.01,-3.77,-3.34,0.0,0
3258,EPXUSDT,LINKUSDT,0.0,-4.5,-3.34,0.0,0
3233,NEXOUSDT,WNXMUSDT,0.0,-4.43,-3.34,0.02,0
3234,NEXOUSDT,KSMUSDT,0.0,-4.37,-3.34,0.03,0
3235,REIUSDT,HBARUSDT,0.04,-3.46,-3.34,0.43,0
3236,GALUSDT,TRXUSDT,0.0,-4.19,-3.34,15.13,0
3237,GALUSDT,MTLUSDT,0.01,-4.07,-3.34,0.93,0
3238,GALUSDT,KEYUSDT,0.01,-3.83,-3.34,234.68,0
3239,GALUSDT,OGNUSDT,0.03,-3.53,-3.34,13.4,0
3240,GALUSDT,STPTUSDT,0.0,-4.25,-3.34,26.31,0
3241,GALUSDT,VTHOUSDT,0.03,-3.59,-3.34,1149.66,0
3242,GALUSDT,MKRUSDT,0.04,-3.38,-3.34,0.0,0
3243,GALUSDT,STORJUSDT,0.0,-4.11,-3.34,4.29,0
3244,LDOUSDT,ETHUSDT,0.04,-3.4,-3.34,0.0,0
3245,LDOUSDT,LTCUSDT,0.03,-3.55,-3.34,0.02,0
3246,LDOUSDT,QTUMUSDT,0.04,-3.46,-3.34,0.72,0
3247,LDOUSDT,ADAUSDT,0.0,-4.8,-3.34,6.17,0
3248,LDOUSDT,XRPUSDT,0.02,-3.67,-3.34,2.99,0
3249,LDOUSDT,TUSDUSDT,0.04,-3.43,-3.34,1.66,0
3250,LDOUSDT,USDCUSDT,0.04,-3.43,-3.34,1.66,0
3251,LDOUSDT,ZILUSDT,0.01,-3.94,-3.34,94.07,0
3252,LDOUSDT,IOSTUSDT,0.04,-3.38,-3.34,217.73,0
3253,LDOUSDT,OMGUSDT,0.0,-4.26,-3.34,3.35,0
3254,LDOUSDT,THETAUSDT,0.02,-3.63,-3.34,2.52,0
3255,LDOUSDT,MATICUSDT,0.01,-4.03,-3.34,2.81,0
3256,EPXUSDT,ONTUSDT,0.04,-3.38,-3.34,0.0,0
3257,EPXUSDT,NULSUSDT,0.05,-3.38,-3.34,0.0,0
1993,FLOWUSDT,WINUSDT,0.01,-3.96,-3.34,7567.06,0
1960,CLVUSDT,ICXUSDT,0.01,-3.84,-3.34,0.19,0
1991,FLOWUSDT,ONEUSDT,0.02,-3.72,-3.34,46.66,0
753,BELUSDT,WTCUSDT,0.0,-4.39,-3.34,3.98,0
665,ANTUSDT,ENJUSDT,0.0,-4.33,-3.34,16.56,0
666,ANTUSDT,MATICUSDT,0.0,-4.34,-3.34,7.17,0
667,ANTUSDT,ATOMUSDT,0.0,-4.34,-3.34,0.56,0
668,ANTUSDT,TFUELUSDT,0.0,-4.35,-3.34,120.68,0
669,SANDUSDT,QTUMUSDT,0.03,-3.48,-3.34,0.15,0
670,SANDUSDT,ADAUSDT,0.0,-4.62,-3.34,1.27,0
671,SANDUSDT,USDCUSDT,0.02,-3.69,-3.34,0.34,0
672,SANDUSDT,HOTUSDT,0.04,-3.38,-3.34,301.44,0
673,SANDUSDT,OMGUSDT,0.05,-3.37,-3.34,0.69,0
674,SANDUSDT,ONEUSDT,0.04,-3.42,-3.34,33.26,0
675,SANDUSDT,FTMUSDT,0.01,-3.93,-3.34,1.61,0
676,OCEANUSDT,NULSUSDT,0.02,-3.64,-3.34,1.75,0
677,OCEANUSDT,COSUSDT,0.03,-3.52,-3.34,68.86,0
678,OCEANUSDT,PERLUSDT,0.03,-3.54,-3.34,21.04,0
679,OCEANUSDT,WANUSDT,0.0,-4.33,-3.34,1.7,0
680,OCEANUSDT,TROYUSDT,0.01,-3.92,-3.34,136.24,0
681,OCEANUSDT,BTSUSDT,0.0,-4.72,-3.34,35.1,0
682,OCEANUSDT,USDTBIDR,0.01,-4.0,-3.34,0.0,0
683,OCEANUSDT,DCRUSDT,0.03,-3.52,-3.34,0.02,0
684,OCEANUSDT,REEFUSDT,0.05,-3.34,-3.34,230.18,0
685,OCEANUSDT,OGUSDT,0.03,-3.54,-3.34,0.07,0
686,OCEANUSDT,RIFUSDT,0.02,-3.61,-3.34,4.43,0
687,OCEANUSDT,FORTHUSDT,0.01,-3.94,-3.34,0.12,0
688,OCEANUSDT,ATAUSDT,0.02,-3.62,-3.34,4.18,0
689,OCEANUSDT,GTCUSDT,0.0,-4.34,-3.34,0.33,0
690,OCEANUSDT,ALPACAUSDT,0.05,-3.36,-3.34,2.26,0
691,OCEANUSDT,QUICKUSDT,0.04,-3.44,-3.34,7.58,0
664,ANTUSDT,THETAUSDT,0.0,-4.3,-3.34,6.42,0
663,ANTUSDT,OMGUSDT,0.0,-4.27,-3.34,8.55,0
662,ANTUSDT,DASHUSDT,0.0,-4.35,-3.34,0.15,0
646,ANTUSDT,ICXUSDT,0.0,-4.33,-3.34,23.27,0
633,ANTUSDT,BNBUSDT,0.0,-4.31,-3.34,0.02,0
634,ANTUSDT,NEOUSDT,0.0,-4.32,-3.34,0.56,0
635,ANTUSDT,LTCUSDT,0.0,-4.33,-3.34,0.06,0
637,ANTUSDT,ADAUSDT,0.0,-4.29,-3.34,15.77,0
638,ANTUSDT,XRPUSDT,0.0,-4.34,-3.34,7.63,0
639,ANTUSDT,EOSUSDT,0.0,-4.31,-3.34,6.74,0
640,ANTUSDT,TUSDUSDT,0.0,-4.36,-3.34,4.27,0
641,ANTUSDT,IOTAUSDT,0.0,-4.3,-3.34,26.25,0
642,ANTUSDT,XLMUSDT,0.0,-4.33,-3.34,33.25,0
643,ANTUSDT,ONTUSDT,0.0,-4.33,-3.34,24.91,0
644,ANTUSDT,TRXUSDT,0.0,-4.38,-3.34,54.97,0
645,ANTUSDT,ETCUSDT,0.0,-4.28,-3.34,0.26,0
647,ANTUSDT,NULSUSDT,0.0,-4.46,-3.34,23.02,0
661,ANTUSDT,CELRUSDT,0.0,-4.32,-3.34,341.54,0
648,ANTUSDT,VETUSDT,0.0,-4.3,-3.34,254.95,0
649,ANTUSDT,USDCUSDT,0.0,-4.35,-3.34,4.27,0
650,ANTUSDT,LINKUSDT,0.0,-4.4,-3.34,0.65,0
652,ANTUSDT,ONGUSDT,0.0,-4.37,-3.34,19.09,0
653,ANTUSDT,HOTUSDT,0.0,-4.32,-3.34,3729.79,0
654,ANTUSDT,ZILUSDT,0.0,-4.32,-3.34,239.96,0
655,ANTUSDT,ZRXUSDT,0.0,-4.33,-3.34,22.54,0
656,ANTUSDT,FETUSDT,0.0,-4.33,-3.34,19.49,0
657,ANTUSDT,BATUSDT,0.0,-4.33,-3.34,23.03,0
658,ANTUSDT,XMRUSDT,0.0,-4.3,-3.34,0.03,0
659,ANTUSDT,ZECUSDT,0.0,-4.29,-3.34,0.16,0
660,ANTUSDT,IOSTUSDT,0.0,-4.3,-3.34,555.69,0
692,OCEANUSDT,GHSTUSDT,0.04,-3.46,-3.34,0.39,0
693,OCEANUSDT,IDEXUSDT,0.02,-3.75,-3.34,6.85,0
694,OCEANUSDT,DFUSDT,0.05,-3.35,-3.34,9.65,0
738,UMAUSDT,WAVESUSDT,0.01,-3.82,-3.34,0.88,0
726,FIOUSDT,ADAUSDT,0.03,-3.58,-3.34,0.07,0
727,FIOUSDT,XRPUSDT,0.03,-3.55,-3.34,0.03,0
728,FIOUSDT,EOSUSDT,0.05,-3.36,-3.34,0.03,0
729,FIOUSDT,USDCUSDT,0.03,-3.57,-3.34,0.02,0
730,FIOUSDT,BATUSDT,0.04,-3.4,-3.34,0.1,0
731,FIOUSDT,XMRUSDT,0.04,-3.44,-3.34,0.0,0
732,FIOUSDT,OMGUSDT,0.0,-5.29,-3.34,0.04,0
733,FIOUSDT,MATICUSDT,0.01,-3.8,-3.34,0.03,0
734,UMAUSDT,NEOUSDT,0.04,-3.38,-3.34,0.19,0
735,UMAUSDT,QTUMUSDT,0.03,-3.54,-3.34,0.63,0
736,UMAUSDT,NULSUSDT,0.04,-3.43,-3.34,7.86,0
737,UMAUSDT,USDCUSDT,0.04,-3.44,-3.34,1.45,0
739,UMAUSDT,HOTUSDT,0.03,-3.49,-3.34,1277.53,0
724,FIOUSDT,BNBUSDT,0.03,-3.53,-3.34,0.0,0
740,UMAUSDT,BATUSDT,0.02,-3.61,-3.34,7.89,0
741,UMAUSDT,CELRUSDT,0.01,-3.85,-3.34,117.09,0
742,UMAUSDT,DASHUSDT,0.02,-3.68,-3.34,0.05,0
743,UMAUSDT,ENJUSDT,0.01,-3.94,-3.34,5.67,0
744,BELUSDT,NULSUSDT,0.01,-3.98,-3.34,3.26,0
745,BELUSDT,PERLUSDT,0.04,-3.42,-3.34,39.27,0
746,BELUSDT,DOCKUSDT,0.03,-3.53,-3.34,42.39,0
747,BELUSDT,WANUSDT,0.02,-3.67,-3.34,3.17,0
748,BELUSDT,NKNUSDT,0.04,-3.45,-3.34,6.69,0
749,BELUSDT,ARPAUSDT,0.02,-3.71,-3.34,13.16,0
750,BELUSDT,TROYUSDT,0.01,-3.96,-3.34,254.12,0
751,BELUSDT,BTSUSDT,0.01,-3.96,-3.34,65.46,0
725,FIOUSDT,LTCUSDT,0.03,-3.59,-3.34,0.0,0
723,FIOUSDT,ETHUSDT,0.0,-4.51,-3.34,0.0,0
695,OCEANUSDT,CVPUSDT,0.02,-3.72,-3.34,1.11,0
708,DOTUSDT,ADAUSDT,0.04,-3.46,-3.34,16.86,0
696,OCEANUSDT,JASMYUSDT,0.03,-3.49,-3.34,89.01,0
697,OCEANUSDT,FLUXUSDT,0.03,-3.52,-3.34,0.93,0
698,OCEANUSDT,JOEUSDT,0.02,-3.61,-3.34,1.2,0
699,OCEANUSDT,XNOUSDT,0.0,-5.41,-3.34,0.52,0
700,OCEANUSDT,VIBUSDT,0.01,-3.77,-3.34,7.42,0
701,OCEANUSDT,UFTUSDT,0.01,-3.79,-3.34,1.4,0
702,OCEANUSDT,COMBOUSDT,0.04,-3.4,-3.34,0.59,0
703,OCEANUSDT,MAVUSDT,0.03,-3.49,-3.34,1.32,0
704,OCEANUSDT,PENDLEUSDT,0.0,-4.19,-3.34,0.51,0
705,NMRUSDT,IOTAUSDT,0.01,-3.83,-3.34,79.55,0
706,NMRUSDT,FETUSDT,0.03,-3.57,-3.34,59.16,0
707,NMRUSDT,WINGUSDT,0.02,-3.66,-3.34,2.62,0
709,DOTUSDT,USDCUSDT,0.03,-3.57,-3.34,4.54,0
722,EGLDUSDT,XMRUSDT,0.05,-3.36,-3.34,0.18,0
710,DOTUSDT,OMGUSDT,0.02,-3.65,-3.34,9.16,0
711,DOTUSDT,FUNUSDT,0.01,-3.91,-3.34,1026.33,0
712,DOTUSDT,BUSDUSDT,0.01,-3.98,-3.34,4.54,0
713,DOTUSDT,VITEUSDT,0.01,-4.04,-3.34,365.92,0
714,RSRUSDT,ONTUSDT,0.04,-3.38,-3.34,0.01,0
715,RSRUSDT,ONGUSDT,0.02,-3.63,-3.34,0.01,0
716,RSRUSDT,ALGOUSDT,0.03,-3.5,-3.34,0.02,0
717,PAXGUSDT,RIFUSDT,0.04,-3.41,-3.34,26079.32,0
718,PAXGUSDT,ATAUSDT,0.05,-3.37,-3.34,24566.12,0
719,PAXGUSDT,XNOUSDT,0.02,-3.68,-3.34,3041.78,0
720,PAXGUSDT,PENDLEUSDT,0.03,-3.57,-3.34,3002.18,0
721,TRBUSDT,TRXUSDT,0.03,-3.58,-3.34,210.89,0
632,ANTUSDT,ETHUSDT,0.0,-4.31,-3.34,0.0,0
631,ANTUSDT,BTCUSDT,0.0,-4.32,-3.34,0.0,0
630,JSTUSDT,GASUSDT,0.05,-3.36,-3.34,0.01,0
554,ZENUSDT,COSUSDT,0.02,-3.71,-3.34,1655.97,0
542,USDTUAH,VITEUSDT,0.03,-3.54,-3.34,3129.45,0
543,COMPUSDT,ETHUSDT,0.0,-4.16,-3.34,0.03,0
544,USDTBIDR,ZECUSDT,0.02,-3.74,-3.34,573.92,0
545,USDTBIDR,CELRUSDT,0.03,-3.52,-3.34,1223879.21,0
546,USDTBIDR,WANUSDT,0.0,-4.11,-3.34,80189.91,0
547,USDTBIDR,FUNUSDT,0.03,-3.56,-3.34,3438797.19,0
548,USDTBIDR,BANDUSDT,0.0,-4.24,-3.34,14053.4,0
549,USDTBIDR,CTXCUSDT,0.01,-3.79,-3.34,118866.58,0
550,USDTBIDR,BCHUSDT,0.01,-3.92,-3.34,72.98,0
551,USDTBIDR,BTSUSDT,0.0,-4.63,-3.34,1654666.58,0
552,ZENUSDT,XMRUSDT,0.04,-3.43,-3.34,0.05,0
553,ZENUSDT,IOSTUSDT,0.02,-3.7,-3.34,1019.71,0
555,ZENUSDT,WANUSDT,0.02,-3.64,-3.34,40.86,0
540,USDTUAH,FUNUSDT,0.02,-3.65,-3.34,8774.23,0
556,ZENUSDT,FUNUSDT,0.0,-4.42,-3.34,1756.7,0
558,ZENUSDT,CTXCUSDT,0.0,-4.72,-3.34,60.68,0
559,ZENUSDT,TROYUSDT,0.02,-3.68,-3.34,3274.19,0
