,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
3764,SUIUSDT,PSGUSDT,0.04,-3.45,-3.34,0.16,0
3765,SUIUSDT,OGUSDT,0.03,-3.57,-3.34,0.12,0
3415,PHBUSDT,HIGHUSDT,0.01,-3.96,-3.34,0.45,0
3414,PHBUSDT,ALCXUSDT,0.01,-3.86,-3.34,0.05,0
3413,PHBUSDT,JASMYUSDT,0.02,-3.69,-3.34,153.38,0
3095,ALPINEUSDT,ADAUSDT,0.04,-3.46,-3.34,7.13,0
3083,WOOUSDT,CTXCUSDT,0.04,-3.43,-3.34,1.36,0
3084,WOOUSDT,EURUSDT,0.05,-3.36,-3.34,0.16,0
3085,WOOUSDT,DREPUSDT,0.0,-4.12,-3.34,0.72,0
3086,WOOUSDT,WRXUSDT,0.01,-4.08,-3.34,1.66,0
3087,WOOUSDT,COMPUSDT,0.05,-3.36,-3.34,0.0,0
3088,WOOUSDT,YFIUSDT,0.04,-3.46,-3.34,0.0,0
3089,WOOUSDT,WNXMUSDT,0.03,-3.48,-3.34,0.01,0
3090,WOOUSDT,FIOUSDT,0.02,-3.76,-3.34,9.04,0
3091,WOOUSDT,SUNUSDT,0.04,-3.46,-3.34,32.57,0
3092,WOOUSDT,UNFIUSDT,0.04,-3.4,-3.34,0.03,0
3093,WOOUSDT,GRTUSDT,0.05,-3.36,-3.34,1.84,0
3094,WOOUSDT,JUVUSDT,0.01,-3.84,-3.34,0.08,0
3096,ALPINEUSDT,TUSDUSDT,0.01,-4.02,-3.34,1.93,0
3081,WOOUSDT,TFUELUSDT,0.03,-3.53,-3.34,4.95,0
3097,TUSDT,ETHUSDT,0.05,-3.35,-3.34,0.0,0
3098,TUSDT,QTUMUSDT,0.01,-3.89,-3.34,0.01,0
3099,TUSDT,ADAUSDT,0.02,-3.66,-3.34,0.07,0
3100,TUSDT,USDCUSDT,0.04,-3.46,-3.34,0.02,0
3101,TUSDT,HOTUSDT,0.0,-4.36,-3.34,17.39,0
3102,TUSDT,XMRUSDT,0.04,-3.43,-3.34,0.0,0
3103,TUSDT,OMGUSDT,0.02,-3.61,-3.34,0.04,0
3104,TUSDT,ONEUSDT,0.04,-3.45,-3.34,1.92,0
3105,TUSDT,ANKRUSDT,0.01,-3.99,-3.34,0.95,0
3106,TUSDT,WINUSDT,0.0,-4.57,-3.34,310.88,0
3107,TUSDT,DENTUSDT,0.0,-4.74,-3.34,29.27,0
3108,TUSDT,FUNUSDT,0.02,-3.74,-3.34,4.46,0
3082,WOOUSDT,BUSDUSDT,0.04,-3.42,-3.34,0.17,0
3080,WOOUSDT,ATOMUSDT,0.05,-3.35,-3.34,0.02,0
3110,TUSDT,RVNUSDT,0.0,-5.43,-3.34,1.23,0
3065,ACAUSDT,ICXUSDT,0.02,-3.76,-3.34,0.28,0
3053,BTTCUSDT,BALUSDT,0.0,-5.39,-3.34,0.0,0
3054,BTTCUSDT,BLZUSDT,0.01,-3.77,-3.34,0.0,0
3055,BTTCUSDT,USDTDAI,0.03,-3.58,-3.34,0.0,0
3056,BTTCUSDT,CRVUSDT,0.0,-5.37,-3.34,0.0,0
3057,BTTCUSDT,SANDUSDT,0.0,-4.37,-3.34,0.0,0
3058,BTTCUSDT,DOTUSDT,0.0,-4.69,-3.34,0.0,0
3059,BTTCUSDT,WNXMUSDT,0.0,-4.15,-3.34,0.0,0
3060,BTTCUSDT,KSMUSDT,0.01,-3.83,-3.34,0.0,0
3061,ACAUSDT,NEOUSDT,0.05,-3.37,-3.34,0.01,0
3062,ACAUSDT,QTUMUSDT,0.0,-4.53,-3.34,0.02,0
3063,ACAUSDT,TUSDUSDT,0.0,-5.01,-3.34,0.05,0
3064,ACAUSDT,ONTUSDT,0.02,-3.61,-3.34,0.3,0
3066,ACAUSDT,USDCUSDT,0.05,-3.37,-3.34,0.05,0
3079,WOOUSDT,USDCUSDT,0.05,-3.37,-3.34,0.17,0
3067,ACAUSDT,WAVESUSDT,0.03,-3.52,-3.34,0.03,0
3068,ACAUSDT,ONGUSDT,0.05,-3.35,-3.34,0.23,0
3069,ACAUSDT,ZRXUSDT,0.0,-4.41,-3.34,0.27,0
3070,ACAUSDT,BATUSDT,0.04,-3.4,-3.34,0.27,0
3071,ACAUSDT,XMRUSDT,0.0,-4.34,-3.34,0.0,0
3072,ACAUSDT,IOSTUSDT,0.04,-3.41,-3.34,6.59,0
3073,ACAUSDT,TFUELUSDT,0.03,-3.52,-3.34,1.44,0
3074,XNOUSDT,BNBUSDT,0.05,-3.34,-3.34,0.0,0
3075,XNOUSDT,NEOUSDT,0.04,-3.44,-3.34,0.08,0
3076,XNOUSDT,EOSUSDT,0.05,-3.37,-3.34,0.99,0
3077,WOOUSDT,QTUMUSDT,0.03,-3.55,-3.34,0.08,0
3078,WOOUSDT,TUSDUSDT,0.03,-3.58,-3.34,0.17,0
3109,TUSDT,BUSDUSDT,0.01,-3.9,-3.34,0.02,0
3111,TUSDT,VITEUSDT,0.01,-4.04,-3.34,1.59,0
3412,PHBUSDT,ADXUSDT,0.0,-4.53,-3.34,4.23,0
3155,APEUSDT,VITEUSDT,0.01,-4.0,-3.34,124.61,0
3143,GMTUSDT,COMPUSDT,0.04,-3.4,-3.34,0.0,0
3144,GMTUSDT,SCUSDT,0.02,-3.67,-3.34,57.36,0
3145,GMTUSDT,MANAUSDT,0.01,-3.89,-3.34,0.55,0
3146,GMTUSDT,YFIUSDT,0.01,-3.97,-3.34,0.0,0
